CustomerID,frequency,monetary,recency,R,F,M,RFM_Score,Segment
12520.0,5,2634.26,79,3,4,4,344,Loyal Customer
12521.0,1,599.68,143,3,1,2,312,Needs Attention
12522.0,2,192.72,39,4,2,1,421,Promising
12523.0,23,4352.35,19,5,5,5,555,Champion
12524.0,17,11126.11,9,5,5,5,555,Champion
12525.0,3,973.73,498,1,3,3,133,Loyal Customer
12526.0,3,1316.66,1,5,3,4,534,Loyal Customer
12527.0,5,735.51,82,3,4,3,343,Loyal Customer
12528.0,6,1933.48,9,5,4,4,544,Champion
12529.0,1,316.48,528,1,1,2,112,Needs Attention
12530.0,9,3759.26,60,3,5,5,355,Loyal Customer
12531.0,2,1933.2,15,5,2,4,524,Promising
12532.0,1,349.83000000000004,30,4,1,2,412,New Customer
12533.0,2,1367.89,628,1,2,4,124,Needs Attention
12534.0,1,1089.18,131,3,1,3,313,Needs Attention
12535.0,2,716.35,92,3,2,3,323,Promising
12536.0,3,12601.830000000002,43,4,3,5,435,Loyal Customer
12537.0,1,732.94,409,2,1,3,213,Needs Attention
12538.0,2,640.45,29,4,2,3,423,Promising
12539.0,7,11214.75,22,4,4,5,445,Champion
12540.0,33,22254.49,20,4,5,5,455,Champion
12541.0,3,981.18,30,4,3,3,433,Loyal Customer
12542.0,2,481.88,484,1,2,2,122,Needs Attention
12543.0,1,980.25,448,1,1,3,113,Needs Attention
12544.0,1,372.7,36,4,1,2,412,New Customer
12545.0,2,1000.39,75,3,2,3,323,Promising
12546.0,2,1161.5,47,4,2,3,423,Promising
12547.0,3,383.58,198,2,3,2,232,At Risk
12548.0,1,95.19999999999999,166,3,1,1,311,Needs Attention
12549.0,6,1575.68,576,1,4,4,144,Loyal Customer
12550.0,1,964.83,79,3,1,3,313,Needs Attention
12551.0,1,168.0,358,2,1,1,211,Needs Attention
12552.0,2,437.82,39,4,2,2,422,Promising
12553.0,12,4608.75,8,5,5,5,555,Champion
12554.0,1,468.5,449,1,1,2,112,Needs Attention
12555.0,1,129.23,682,1,1,1,111,Lost
12556.0,2,599.56,50,4,2,2,422,Promising
12557.0,8,18096.14,16,5,4,5,545,Champion
12558.0,1,269.96,8,5,1,1,511,New Customer
12559.0,2,561.71,311,2,2,2,222,Needs Attention
12560.0,3,2134.01,5,5,3,4,534,Loyal Customer
12561.0,1,238.85,303,2,1,1,211,Needs Attention
12562.0,9,4966.92,8,5,5,5,555,Champion
12563.0,1,249.24,409,2,1,1,211,Needs Attention
12564.0,1,456.9,261,2,1,2,212,Needs Attention
12565.0,1,145.92,289,2,1,1,211,Needs Attention
12566.0,1,351.65,86,3,1,2,312,Needs Attention
12567.0,15,11767.48,23,4,5,5,455,Champion
12568.0,1,70.0,645,1,1,1,111,Lost
12569.0,32,4124.69,2,5,5,5,555,Champion
12570.0,1,77.52,682,1,1,1,111,Lost
12571.0,2,519.61,40,4,2,2,422,Promising
12572.0,2,1020.42,9,5,2,3,523,Promising
12573.0,5,717.41,227,2,4,3,243,Loyal Customer
12574.0,1,218.45,316,2,1,1,211,Needs Attention
12575.0,2,622.8199999999999,457,1,2,3,123,Needs Attention
12576.0,8,2142.72,36,4,4,4,444,Champion
12577.0,8,1617.1,35,4,4,4,444,Champion
12578.0,4,4642.45,21,4,3,5,435,Loyal Customer
12579.0,1,440.42,78,3,1,2,312,Needs Attention
12580.0,2,1052.9,247,2,2,3,223,Needs Attention
12581.0,1,197.71,40,4,1,1,411,New Customer
12582.0,4,1980.4,239,2,3,4,234,Loyal Customer
12583.0,27,13591.58,3,5,5,5,555,Champion
12584.0,9,2338.15,4,5,5,4,554,Champion
12585.0,2,2040.1,234,2,2,4,224,Needs Attention
12586.0,4,2062.67,17,5,3,4,534,Loyal Customer
12587.0,1,144.0,8,5,1,1,511,New Customer
12588.0,4,958.78,39,4,3,3,433,Loyal Customer
12589.0,8,4695.66,29,4,4,5,445,Champion
12590.0,2,9864.26,211,2,2,5,225,Needs Attention
12591.0,3,1338.95,317,2,3,4,234,Loyal Customer
12592.0,5,2582.66,92,3,4,4,344,Loyal Customer
12593.0,3,418.09999999999997,109,3,3,2,332,Needs Attention
12594.0,15,5090.110000000001,38,4,5,5,455,Champion
12595.0,1,299.02,505,1,1,2,112,Needs Attention
12596.0,2,618.27,51,4,2,3,423,Promising
12597.0,4,3811.22,19,5,3,5,535,Loyal Customer
12598.0,11,4534.09,10,5,5,5,555,Champion
12599.0,13,2296.72,29,4,5,4,454,Champion
12600.0,21,4967.42,29,4,5,5,455,Champion
12601.0,6,681.26,190,2,4,3,243,Loyal Customer
12602.0,1,153.12,59,4,1,1,411,New Customer
12603.0,1,739.1999999999999,22,4,1,3,413,New Customer
12604.0,2,254.18,79,3,2,1,321,Promising
12605.0,4,1232.95,376,2,3,4,234,Loyal Customer
12606.0,1,21.0,682,1,1,1,111,Lost
12607.0,1,1579.51,60,3,1,4,314,Needs Attention
12608.0,1,415.79,405,2,1,2,212,Needs Attention
12609.0,9,3435.86,78,3,5,5,355,Loyal Customer
12610.0,5,2099.54,23,4,4,4,444,Champion
12611.0,1,1193.32,52,4,1,3,413,New Customer
12612.0,1,704.0400000000001,74,3,1,3,313,Needs Attention
12613.0,10,6817.37,57,4,5,5,455,Champion
12614.0,1,315.6,278,2,1,2,212,Needs Attention
12615.0,8,5740.98,2,5,4,5,545,Champion
12616.0,3,1131.1,95,3,3,3,333,Loyal Customer
12617.0,1,352.98,29,4,1,2,412,New Customer
12618.0,1,177.31,22,4,1,1,411,New Customer
12619.0,10,3781.38,16,5,5,5,555,Champion
12620.0,3,1339.41,15,5,3,4,534,Loyal Customer
12621.0,35,24311.2,2,5,5,5,555,Champion
12622.0,1,180.1,232,2,1,1,211,Needs Attention
12623.0,7,3747.84,276,2,4,5,245,Loyal Customer
12624.0,2,641.13,106,3,2,3,323,Promising
12625.0,4,5164.88,212,2,3,5,235,Loyal Customer
12626.0,9,6620.48,23,4,5,5,455,Champion
12627.0,7,4478.53,11,5,4,5,545,Champion
12628.0,3,786.46,4,5,3,3,533,Loyal Customer
12629.0,2,1558.22,386,2,2,4,224,Needs Attention
12630.0,2,1270.88,10,5,2,4,524,Promising
12631.0,6,3481.57,57,4,4,5,445,Champion
12632.0,2,804.88,521,1,2,3,123,Needs Attention
12633.0,7,5678.16,59,4,4,5,445,Champion
12634.0,2,490.0,536,1,2,2,122,Needs Attention
12635.0,4,2930.41,90,3,3,5,335,Loyal Customer
12636.0,1,141.0,739,1,1,1,111,Lost
12637.0,12,8283.81,67,3,5,5,355,Loyal Customer
12638.0,2,921.49,33,4,2,3,423,Promising
12639.0,3,1312.37,239,2,3,4,234,Loyal Customer
12640.0,3,1174.58,24,4,3,3,433,Loyal Customer
12641.0,1,185.9,115,3,1,1,311,Needs Attention
12642.0,3,1013.26,25,4,3,3,433,Loyal Customer
12643.0,12,8304.82,128,3,5,5,355,Loyal Customer
12644.0,4,1918.49,130,3,3,4,334,Loyal Customer
12645.0,8,3539.3,34,4,4,5,445,Champion
12646.0,2,1346.97,5,5,2,4,524,Promising
12647.0,36,16955.55,22,4,5,5,455,Champion
12648.0,4,1112.0,155,3,3,3,333,Loyal Customer
12649.0,8,2294.65,107,3,4,4,344,Loyal Customer
12650.0,1,314.44,3,5,1,2,512,New Customer
12651.0,4,377.75,335,2,3,2,232,At Risk
12652.0,2,1017.03,331,2,2,3,223,Needs Attention
12653.0,3,4160.83,149,3,3,5,335,Loyal Customer
12654.0,5,601.98,11,5,4,2,542,Needs Attention
12655.0,1,261.35,424,1,1,1,111,Lost
12656.0,8,6407.83,17,5,4,5,545,Champion
12657.0,4,1643.18,11,5,3,4,534,Loyal Customer
12658.0,1,686.05,19,5,1,3,513,New Customer
12659.0,1,91.68,30,4,1,1,411,New Customer
12660.0,1,245.1,11,5,1,1,511,New Customer
12661.0,1,162.0,436,1,1,1,111,Lost
12662.0,20,6726.54,1,5,5,5,555,Champion
12663.0,2,239.4,625,1,2,1,121,Needs Attention
12664.0,11,6070.04,8,5,5,5,555,Champion
12665.0,3,313.6,325,2,3,2,232,At Risk
12666.0,1,1248.42,394,2,1,4,214,Needs Attention
12667.0,1,620.13,58,4,1,3,413,New Customer
12668.0,10,11383.03,12,5,5,5,555,Champion
12669.0,3,2744.0299999999997,151,3,3,4,334,Loyal Customer
12670.0,7,3760.29,10,5,4,5,545,Champion
12671.0,1,2622.481,606,1,1,4,114,Needs Attention
12672.0,2,437.05,330,2,2,2,222,Needs Attention
12673.0,3,1230.02,5,5,3,4,534,Loyal Customer
12674.0,4,1970.6,39,4,3,4,434,Loyal Customer
12675.0,2,957.25,554,1,2,3,123,Needs Attention
12676.0,11,2843.09,25,4,5,4,454,Champion
12677.0,2,395.1,555,1,2,2,122,Needs Attention
12678.0,21,34281.18,42,4,5,5,455,Champion
12679.0,4,1113.02,59,4,3,3,433,Loyal Customer
12680.0,4,880.81,1,5,3,3,533,Loyal Customer
12681.0,45,29834.76,15,5,5,5,555,Champion
12682.0,52,22950.22,4,5,5,5,555,Champion
12683.0,21,11633.7,4,5,5,5,555,Champion
12684.0,7,2283.63,8,5,4,4,544,Champion
12685.0,6,2863.08,28,4,4,4,444,Champion
12686.0,1,89.14,372,2,1,1,211,Needs Attention
12687.0,2,2138.91,481,1,2,4,124,Needs Attention
12688.0,1,4873.8099999999995,114,3,1,5,315,Needs Attention
12689.0,2,1247.61,26,4,2,4,424,Promising
12690.0,1,389.01,206,2,1,2,212,Needs Attention
12691.0,7,1170.4,28,4,4,3,443,Loyal Customer
12692.0,1,110.95,637,1,1,1,111,Lost
12693.0,7,1703.02,127,3,4,4,344,Loyal Customer
12694.0,3,1843.35,70,3,3,4,334,Loyal Customer
12695.0,7,1407.1200000000001,7,5,4,4,544,Champion
12696.0,2,851.91,435,1,2,3,123,Needs Attention
12697.0,3,957.59,29,4,3,3,433,Loyal Customer
12698.0,1,339.75,590,1,1,2,112,Needs Attention
12699.0,1,638.11,418,1,1,3,113,Needs Attention
12700.0,4,4939.99,8,5,3,5,535,Loyal Customer
12701.0,6,2446.41,80,3,4,4,344,Loyal Customer
12702.0,1,219.0,20,4,1,1,411,New Customer
12703.0,4,1006.53,71,3,3,3,333,Loyal Customer
12704.0,8,2340.84,7,5,4,4,544,Champion
12705.0,14,11762.1,15,5,5,5,555,Champion
12707.0,1,603.42,292,2,1,2,212,Needs Attention
12708.0,18,5117.66,30,4,5,5,455,Champion
12709.0,34,30291.76,15,5,5,5,555,Champion
12710.0,3,1149.02,97,3,3,3,333,Loyal Customer
12711.0,2,1339.05,612,1,2,4,124,Needs Attention
12712.0,21,6723.03,29,4,5,5,455,Champion
12713.0,1,848.55,1,5,1,3,513,New Customer
12714.0,12,14093.71,9,5,5,5,555,Champion
12715.0,1,343.36,106,3,1,2,312,Needs Attention
12716.0,2,1053.49,4,5,2,3,523,Promising
12717.0,3,1308.91,151,3,3,4,334,Loyal Customer
12718.0,1,238.25,71,3,1,1,311,Needs Attention
12719.0,2,644.95,5,5,2,3,523,Promising
12720.0,30,7787.28,3,5,5,5,555,Champion
12721.0,8,4013.08,32,4,4,5,445,Champion
12722.0,4,997.63,85,3,3,3,333,Loyal Customer
12723.0,5,725.07,4,5,4,3,543,Loyal Customer
12724.0,7,2317.52,5,5,4,4,544,Champion
12725.0,4,2266.76,371,2,3,4,234,Loyal Customer
12726.0,11,4014.6,28,4,5,5,455,Champion
12727.0,10,5679.53,11,5,5,5,555,Champion
12728.0,5,1070.17,71,3,4,3,343,Loyal Customer
12729.0,1,453.01,114,3,1,2,312,Needs Attention
12730.0,1,829.25,522,1,1,3,113,Needs Attention
12731.0,17,25775.71,24,4,5,5,455,Champion
12732.0,1,236.26000000000002,180,3,1,1,311,Needs Attention
12733.0,4,2424.87,234,2,3,4,234,Loyal Customer
12734.0,3,639.65,353,2,3,3,233,Loyal Customer
12735.0,2,779.5699999999999,315,2,2,3,223,Needs Attention
12736.0,1,234.0,333,2,1,1,211,Needs Attention
12737.0,2,3710.5,499,1,2,5,125,Needs Attention
12738.0,1,155.35,372,2,1,1,211,Needs Attention
12739.0,4,2726.73,78,3,3,4,334,Loyal Customer
12740.0,1,427.6,64,3,1,2,312,Needs Attention
12741.0,2,406.07,529,1,2,2,122,Needs Attention
12742.0,1,1201.52,626,1,1,3,113,Needs Attention
12743.0,2,540.13,134,3,2,2,322,Promising
12744.0,11,25317.06,52,4,5,5,455,Champion
12745.0,3,925.41,487,1,3,3,133,Loyal Customer
12746.0,1,254.55,541,1,1,1,111,Lost
12747.0,26,8898.48,2,5,5,5,555,Champion
12748.0,336,53539.64,1,5,5,5,555,Champion
12749.0,9,6897.36,4,5,5,5,555,Champion
12750.0,1,275.88,129,3,1,1,311,Needs Attention
12751.0,1,268.27,445,1,1,1,111,Lost
12752.0,1,4366.78,81,3,1,5,315,Needs Attention
12753.0,6,21429.39,23,4,4,5,445,Champion
12754.0,3,3010.74,236,2,3,5,235,Loyal Customer
12755.0,11,5236.259999999999,281,2,5,5,255,Loyal Customer
12756.0,1,112.07999999999998,87,3,1,1,311,Needs Attention
12757.0,13,7834.650000000001,16,5,5,5,555,Champion
12758.0,7,9903.24,117,3,4,5,345,Loyal Customer
12759.0,8,5020.74,52,4,4,5,445,Champion
12760.0,1,347.8,456,1,1,2,112,Needs Attention
12761.0,2,782.95,458,1,2,3,123,Needs Attention
12762.0,2,1898.52,8,5,2,4,524,Promising
12763.0,2,494.08,138,3,2,2,322,Promising
12764.0,1,1693.88,317,2,1,4,214,Needs Attention
12765.0,6,1404.58,472,1,4,4,144,Loyal Customer
12766.0,9,8918.99,4,5,5,5,555,Champion
12767.0,1,949.82,376,2,1,3,213,Needs Attention
12768.0,1,168.69000000000003,451,1,1,1,111,Lost
12769.0,1,1143.6,239,2,1,3,213,Needs Attention
12770.0,2,3246.45,211,2,2,5,225,Needs Attention
12771.0,1,282.3,486,1,1,1,111,Lost
12772.0,1,892.47,60,3,1,3,313,Needs Attention
12773.0,1,124.25,564,1,1,1,111,Lost
12774.0,1,98.7,536,1,1,1,111,Lost
12775.0,7,1686.12,17,5,4,4,544,Champion
12776.0,1,55.5,668,1,1,1,111,Lost
12777.0,1,519.45,458,1,1,2,112,Needs Attention
12778.0,9,1775.68,20,4,5,4,454,Champion
12779.0,14,6474.11,38,4,5,5,455,Champion
12780.0,1,337.4,599,1,1,2,112,Needs Attention
12781.0,2,826.74,64,3,2,3,323,Promising
12782.0,11,4618.24,5,5,5,5,555,Champion
12783.0,6,2225.91,2,5,4,4,544,Champion
12784.0,3,1763.15,9,5,3,4,534,Loyal Customer
12785.0,3,1100.4,364,2,3,3,233,Loyal Customer
12786.0,1,728.5,610,1,1,3,113,Needs Attention
12787.0,4,862.18,10,5,3,3,533,Loyal Customer
12788.0,4,444.9,463,1,3,2,132,At Risk
12789.0,3,273.35,65,3,3,1,331,Needs Attention
12790.0,2,591.85,192,2,2,2,222,Needs Attention
12791.0,6,863.51,374,2,4,3,243,Loyal Customer
12792.0,2,827.01,257,2,2,3,223,Needs Attention
12793.0,3,885.53,335,2,3,3,233,Loyal Customer
12794.0,2,860.41,53,4,2,3,423,Promising
12795.0,1,430.48,19,5,1,2,512,New Customer
12796.0,1,381.0,628,1,1,2,112,Needs Attention
12797.0,2,552.08,366,2,2,2,222,Needs Attention
12798.0,4,8510.93,10,5,3,5,535,Loyal Customer
12799.0,1,219.35,529,1,1,1,111,Lost
12800.0,3,584.25,470,1,3,2,132,At Risk
12801.0,1,1071.82,501,1,1,3,113,Needs Attention
12802.0,7,2416.42,187,3,4,4,344,Loyal Customer
12803.0,1,1092.81,393,2,1,3,213,Needs Attention
12804.0,2,325.37,466,1,2,2,122,Needs Attention
12805.0,4,1434.95,382,2,3,4,234,Loyal Customer
12806.0,4,2878.96,435,1,3,4,134,Loyal Customer
12807.0,1,330.35,383,2,1,2,212,Needs Attention
12808.0,5,776.7,37,4,4,3,443,Loyal Customer
12809.0,3,1755.94,178,3,3,4,334,Loyal Customer
12810.0,2,534.99,535,1,2,2,122,Needs Attention
12811.0,5,1033.9,261,2,4,3,243,Loyal Customer
12812.0,1,229.64000000000001,45,4,1,1,411,New Customer
12813.0,3,1687.8,502,1,3,4,134,Loyal Customer
12814.0,1,125.92,102,3,1,1,311,Needs Attention
12815.0,2,1063.46,148,3,2,3,323,Promising
12816.0,2,572.2,96,3,2,2,322,Promising
12817.0,3,690.98,281,2,3,3,233,Loyal Customer
12818.0,1,1542.08,262,2,1,4,214,Needs Attention
12819.0,1,540.52,458,1,1,2,112,Needs Attention
12820.0,11,2689.52,3,5,5,4,554,Champion
12821.0,2,220.8,214,2,2,1,221,Needs Attention
12822.0,2,948.88,71,3,2,3,323,Promising
12823.0,18,6501.5,75,3,5,5,355,Loyal Customer
12824.0,1,397.12,60,3,1,2,312,Needs Attention
12825.0,2,518.63,521,1,2,2,122,Needs Attention
12826.0,12,2800.75,3,5,5,4,554,Champion
12827.0,3,430.15000000000003,6,5,3,2,532,Needs Attention
12828.0,6,1018.71,3,5,4,3,543,Loyal Customer
12829.0,3,385.3,337,2,3,2,232,At Risk
12830.0,6,6814.64,38,4,4,5,445,Champion
12831.0,3,451.11,262,2,3,2,232,At Risk
12832.0,2,383.03,32,4,2,2,422,Promising
12833.0,1,417.38,145,3,1,2,312,Needs Attention
12834.0,1,312.38,283,2,1,2,212,Needs Attention
12835.0,41,5996.83,428,1,5,5,155,Loyal Customer
12836.0,15,6559.7300000000005,59,4,5,5,455,Champion
12837.0,2,662.66,173,3,2,3,323,Promising
12838.0,10,2975.91,34,4,5,5,455,Champion
12839.0,26,9669.12,3,5,5,5,555,Champion
12840.0,7,4041.97,144,3,4,5,345,Loyal Customer
12841.0,40,6958.2,5,5,5,5,555,Champion
12842.0,4,1917.99,70,3,3,4,334,Loyal Customer
12843.0,30,6583.36,66,3,5,5,355,Loyal Customer
12844.0,4,648.6,29,4,3,3,433,Loyal Customer
12845.0,4,354.09,267,2,3,2,232,At Risk
12846.0,1,15.58,682,1,1,1,111,Lost
12847.0,2,1609.0,22,4,2,4,424,Promising
12848.0,1,208.0,676,1,1,1,111,Lost
12849.0,6,3042.47,31,4,4,5,445,Champion
